#,id_inmueble,Plataforma,Link,Duplicado,Ciudad,Barrio,Está en el barrio?,Dónde está?,Direccion,Tipo propiedad,Precio venta,área m2,Valor m2,Valor m2 actualizado,Remodelado,Desv reformados,Resultado,Propiedad horizontal,Piso,Ascensor,# Habitaciones,# baños,Red gas,Zona ropas,# Parquead,Fecha actual,Fecha publicación,Agencia,Contacto,COMENTARIOS
1,3215344,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3215344,,Medellín,LAS PLAYAS,,,CR 75 DA 02 B SUR 320 AP 328 TORRE 7,Apartamento,485000000.0,66.0,7348484.848484849,,False,,,,,,3,2.0,,,0,,2025-01-15T10:29:52.000Z,,TU ESPACIO INMOBILIARIO  S A S,
2,3352027,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3352027,,Medellín,SAN BERNARDO,,,CR 75 26 AP 201,Apartamento,350000000.0,87.0,4022988.5057471264,,False,,,,,,3,2.0,,,0,,2025-05-21T15:55:58.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
3,3435395,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3435395,,Medellín,SAN BERNARDO,,,CL 26 B 69 B 25 INT 309,Apartamento,380000000.0,62.0,6129032.258064516,,False,,,,,,2,2.0,,,0,,2025-08-06T08:24:39.000Z,,INMOBILIARIA CONSTRUCASAS S.AS,
4,2860023,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-2860023,,Medellín,SAN BERNARDO,,,CL 24 70 A 22 PISO 1,Apartamento,450000000.0,70.0,6428571.428571428,,False,,,,,,3,2.0,,,0,,2023-11-25T13:36:33.000Z,,ARRENDAMIENTOS INTEGRIDAD,
5,3224725,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3224725,,Medellín,SAN BERNARDO,,,CR 75 29 51 INT 302,Apartamento,220000000.0,50.0,4400000.0,,False,,,,,,2,1.0,,,0,,2025-01-25T10:35:03.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
6,2453526,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-2453526,,Medellín,SAN BERNARDO,,,CARRERA 74   22- 55,Apartamento,250000000.0,50.0,5000000.0,,False,,,,,,2,2.0,,,1,,2022-08-17T10:50:05.000Z,,Arrendamientos Panorama Belen,
7,2341804,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-2341804,,Medellín,SAN BERNARDO,,,CR 74 A 26 78 AP 501,Apartamento,235000000.0,53.0,4433962.264150944,,False,,,,,,3,1.0,,,0,,2022-04-25T09:24:14.000Z,,ARRENDAMIENTOS INTEGRIDAD,
8,3408275,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-arriendo-o-venta-en-san-bernardo-medellin-3408275,,Medellín,SAN BERNARDO,,,CL 25 79 A 25 INT 201,Casa,420000000.0,96.0,4375000.0,,False,,,,,,3,2.0,,,0,,2025-07-12T10:40:03.000Z,,INMOBILIARIA PROTEBIENES,
9,3382224,ciencuadras,https://www.ciencuadras.com/inmueble/apartaestudio-en-arriendo-o-venta-en-san-bernardo-medellin-3382224,,Medellín,SAN BERNARDO,,,calle 19 75 29,Apartaestudio,580000000.0,118.0,4915254.237288136,,False,,,,,,3,2.0,,,0,,2025-06-18T11:43:27.000Z,,Arrendamientos Panorama Belen,
10,3384135,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3384135,,Medellín,SAN BERNARDO,,,CR 72 20 A 56 2 PISO,Casa,480000000.0,95.0,5052631.578947368,,False,,,,,,3,2.0,,,0,,2025-06-19T14:32:13.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
11,3281895,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3281895,,Medellín,SAN BERNARDO,,,CL 24 77 29 AP 401,Apartamento,215000000.0,50.0,4300000.0,,False,,,,,,2,2.0,,,0,,2025-03-19T10:24:07.000Z,,TU ESPACIO INMOBILIARIO  S A S,
12,3415241,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3415241,,Medellín,SAN BERNARDO,,,carrera 76 23 16,Casa,1380000000.0,210.66,6550840.216462546,,False,,,,,,4,2.0,,,1,,2025-07-17T15:02:12.000Z,,Nestor Raul Velásquez Restrepo,
13,3391945,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3391945,,Medellín,SAN BERNARDO,,,CR 80 C 19 39 PISO 1,Casa,540000000.0,105.0,5142857.142857143,,False,,,,,,5,4.0,,,1,,2025-06-26T12:00:56.000Z,,ACTIVOS & BIENES S.A.S,
14,3391914,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-san-bernardo-medellin-3391914,,Medellín,SAN BERNARDO,,,CR 74 A 26 78,Apartamento,235000000.0,63.0,3730158.73015873,,False,,,,,,3,1.0,,,0,,2025-06-26T11:59:37.000Z,,ACTIVOS & BIENES S.A.S,
15,3423668,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3423668,,Medellín,SAN BERNARDO,,,CL 25 70 A 38 PISO 3,Casa,420000000.0,85.0,4941176.470588235,,False,,,,,,3,2.0,,,0,,2025-07-25T08:34:41.000Z,,ARRENDAMIENTOS INTEGRIDAD,
16,3070274,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3070274,,Medellín,SAN BERNARDO,,,Calle 25 #79a-109,Casa,420000000.0,175.0,2400000.0,,False,,,,,,7,4.0,,,1,,2024-08-20T11:22:01.000Z,,ARQUILER S.A.S,
17,2796777,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-2796777,,Medellín,SAN BERNARDO,,,CR 74 24 42 INT 302,Casa,350000000.0,74.0,4729729.72972973,,False,,,,,,4,2.0,,,0,,2023-09-08T15:33:00.000Z,,INMOBILIARIA TRIANON S.A.S,
18,3435165,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3435165,,Medellín,SAN BERNARDO,,,Calle 24 No. 71a - 21,Casa,560000000.0,130.0,4307692.307692308,,False,,,,,,4,2.0,,,2,,2025-08-05T16:46:16.000Z,,VIVIENDO GRUPO INMOBILIARIO,
19,3357238,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3357238,,Medellín,SAN BERNARDO,,,Cll23 #71A-80 ,Casa,500000000.0,115.0,4347826.0869565215,,False,,,,,,4,2.0,,,0,,2025-05-26T16:19:28.000Z,,DEHER HOME INMOBILIARIA,
20,3202850,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3202850,,Medellín,SAN BERNARDO,,,Calle  24 # 71 A 21,Casa,535000000.0,90.0,5944444.444444444,,False,,,,,,3,2.0,,,1,,2024-12-19T12:39:36.000Z,,CITY RAIZ S.A.S,
21,3342736,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3342736,,Medellín,SAN BERNARDO,,,CR 79 A 23 20 INT 201,Casa,365000000.0,142.0,2570422.5352112674,,False,,,,,,4,1.0,,,0,,2025-05-14T09:20:00.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
22,2528349,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-2528349,,Medellín,LAS PLAYAS,,,CARRERA 72   13A- 06,Apartamento,250000000.0,45.0,5555555.555555556,,False,,,,,,3,0.0,,,1,,2022-11-11T10:44:33.000Z,,Arrendamientos Panorama Belen,
23,3345884,ciencuadras,https://www.ciencuadras.com/inmueble/local-en-venta-en-diego-echavarria-medellin-3345884,,Medellín,DIEGO ECHAVARRIA,,,DIAGONAL 75B 2A- 10,Local,1850000000.0,259.0,7142857.142857143,,False,,,,,,0,2.0,,,1,,2025-05-16T10:10:36.000Z,,JCO INVERSIONES SAS,
24,3444478,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-o-venta-en-las-playas-medellin-3444478,,Medellín,LAS PLAYAS,,,CR 60 50 25 PISO 1,Apartamento,4000000000.0,60.0,66666666.666666664,,False,,,,,,2,2.0,,,0,,2025-08-16T11:17:20.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
25,3215344,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3215344,,Medellín,LAS PLAYAS,,,CR 75 DA 02 B SUR 320 AP 328 TORRE 7,Apartamento,485000000.0,66.0,7348484.848484849,,False,,,,,,3,2.0,,,0,,2025-01-15T10:29:52.000Z,,TU ESPACIO INMOBILIARIO  S A S,
26,3296856,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3296856,,Medellín,LAS PLAYAS,,,CL 13 A 71 A 40,Casa,430000000.0,125.0,3440000.0,,False,,,,,,4,1.0,,,0,,2025-04-03T08:19:11.000Z,,ARRENDAMIENTOS INTEGRIDAD,
27,3391915,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3391915,,Medellín,LAS PLAYAS,,,CR 75 28 27 AP 201,Casa,460000000.0,161.0,2857142.8571428573,,False,,,,,,4,5.0,,,0,,2025-06-26T11:59:40.000Z,,ACTIVOS & BIENES S.A.S,
28,3344455,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3344455,,Medellín,LAS PLAYAS,,,CR 70 14 35 CS 3,Casa,520000000.0,160.0,3250000.0,,False,,,,,,5,2.0,,,0,,2025-05-15T10:45:12.000Z,,Inmobiliaria y Valores La Villa,
29,3058314,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3058314,,Medellín,LAS PLAYAS,,,CL 12 73 38 BL 41 CS 202,Casa,390000000.0,80.0,4875000.0,,False,,,,,,3,2.0,,,0,,2024-08-02T15:28:30.000Z,,INMOBILIARIA TRIANON S.A.S,
30,3338747,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3338747,,Medellín,LAS PLAYAS,,,"Las Playas, Medellín, Belén, Medellín, Antioquia, Colombia",Apartamento,430000000.0,96.0,4479166.666666667,,False,,,,,,4,2.0,,,0,,2025-05-09T17:34:56.000Z,,RED DE INVERSIONES INMOBILIARIAS,
31,3382916,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3382916,,Medellín,LAS PLAYAS,,,calle 16 # 70-48,Apartamento,400000000.0,105.0,3809523.8095238097,,False,,,,,,5,1.0,,,0,,2025-06-18T15:38:45.000Z,,MATTIS INMOBILIARIA,
32,3361817,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3361817,,Medellín,LAS PLAYAS,,,Carrera 40# 47-30 apt 1003 edificio Orión 1,Casa,240000000.0,48.0,5000000.0,,False,,,,,,2,2.0,,,0,,2025-08-01T11:24:39.000Z,,DREAM HOUSE PROPIEDAD RAIZ SAS,
33,3444474,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3444474,,Medellín,LAS PLAYAS,,,CR 70 40 50 PISO 1,Apartamento,4000000000.0,60.0,66666666.666666664,,False,,,,,,2,2.0,,,0,,2025-08-16T11:16:00.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
34,3360887,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3360887,,Medellín,LAS PLAYAS,,,CR 72 #10A 26,Apartamento,320000000.0,89.0,3595505.617977528,,False,,,,,,3,2.0,,,0,,2025-05-29T12:19:27.000Z,,Arrendamientos Panorama Belen,
35,3307078,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3307078,,Medellín,LAS PLAYAS,,,LA AMERICA,Apartamento,450000000.0,84.0,5357142.857142857,,False,,,,,,3,2.0,,,1,,2025-04-10T14:18:16.000Z,,Mas Activo propiedad raiz,
36,3306001,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3306001,,Medellín,LAS PLAYAS,,,Calle 17 # 27 - 0,Apartamento,1210000000.0,122.0,9918032.786885247,,False,,,,,,2,3.0,,,2,,2025-04-09T16:19:30.000Z,,Prointegral S.A,
37,3383122,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3383122,,Medellín,LAS PLAYAS,,,CR 73 26 B 27 AP 702,Apartamento,580000000.0,123.0,4715447.154471545,,False,,,,,,3,3.0,,,0,,2025-06-18T16:40:15.000Z,,ARRENDAMIENTOS INTEGRIDAD,
38,3399198,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3399198,,Medellín,LAS PLAYAS,,,Calle 17 # 71 - 65,Apartamento,420000000.0,120.0,3500000.0,,False,,,,,,4,2.0,,,0,,2025-07-04T09:38:40.000Z,,Petra Group Sas,
39,3292428,ciencuadras,https://www.ciencuadras.com/inmueble/local-en-venta-en-las-playas-medellin-3292428,,Medellín,LAS PLAYAS,,,DG 79 15 193,Local,270000000.0,20.0,13500000.0,,False,,,,,,0,1.0,,,0,,2025-03-29T08:30:45.000Z,,ARRENDAMIENTOS INTEGRIDAD,
40,3068176,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3068176,,Medellín,LAS PLAYAS,,,Cl. 12 #73-58,Apartamento,445000000.0,110.0,4045454.5454545454,,False,,,,,,3,2.0,,,2,,2024-08-15T14:43:25.000Z,,Grupo Inmobiliario Cabal S.A.S,
41,2809368,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-2809368,,Medellín,LAS PLAYAS,,,CL 12 73 38 BL 41 AP 202,Apartamento,410000000.0,80.0,5125000.0,,False,,,,,,3,2.0,,,0,,2023-09-22T10:35:47.000Z,,ARRENDAMIENTOS INTEGRIDAD,
42,192428996,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-suroriente-medellin/192428996,,Medellín,belen,,,CL 25 9 A 31 AP 103,Apartamento,948000000.0,152.0,6236842.105263158,,True,,,,,,2,3.0,,,2,,2025-05-21,,Arrendamientos Mabel Ochoa,
43,192624427,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192624427,,Medellín,urbanizacion rafael uribe uribe,,,"Las Playas, Belén, Medellín, Antioquia, Colombia",Casa,495000000.0,105.0,4714285.714285715,,False,,,,,,3,3.0,,,1,,2025-07-10,,GRUPO INMOBILIARIO VALENCIA Y ASOCIADOS,
44,192645352,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192645352,,Medellín,urbanizacion rafael uribe uribe,,,"Las Playas, Medellín, Belén, Medellín, Antioquia, Colombia",Casa,399000000.0,88.92,4487179.487179487,,False,,,,,,3,3.0,,,0,,2025-07-16,,Miriam Morales,
45,192685412,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192685412,,Medellín,urbanizacion rafael uribe uribe,,,"Las Playas, Belén, Medellín, Antioquia, Colombia",Casa,360000000.0,95.0,3789473.6842105263,,False,,,,,,3,2.0,,,0,,2025-07-26,,OPCIONES INMOBILIARIAS,
46,10501994,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/10501994,,Medellín,belen,,,CALLE 22 # 71A-21,Casa,415000000.0,133.0,3120300.751879699,,True,,,,,,5,3.0,,,0,,2024-01-26,,Inmobiliaria Tobon,
47,10502038,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/10502038,,Medellín,urbanizacion rafael uribe uribe,,,Calle 20A # 72-22,Casa,380000000.0,85.0,4470588.235294118,,False,,,,,,4,2.0,,,0,,2024-01-26,,Inmobiliaria Tobon,
48,192593408,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-de-los-bernal-medellin/192593408,,Medellín,loma de los bernal,,,Carrera 84 b numero 7-188 apart 202 estrato4,Apartamento,320000000.0,62.0,5161290.322580645,,False,,,,,,1,2.0,,,0,,2025-07-02,,ALFA FINCA RAIZ INMOBILIARIA SAS,
49,192661142,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-aeroparque-juan-pablo-ii-medellin/192661142,,Medellín,belen,,,"Calle 25 #70a-36, Medellín, Antioquia, Colombia",Casa,420000000.0,85.0,4941176.470588235,,True,,,,,,3,2.0,,,0,,2025-07-20,,johny alexander marulanda florezMarulanda,
50,192609625,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/192609625,,Medellín,belen,,,CL 24  73 31 APT 402 INTERNO,Apartamento,360000000.0,66.0,5454545.454545454,,False,,,,,,2,1.0,,,0,,2025-07-07,,Maxibienes S.A.S,
51,191940310,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191940310,,Medellín,belen,,,calle 20 # 74 - 36,Apartamento,560000000.0,147.0,3809523.8095238097,,False,,,,,,5,2.0,,,0,,2025-01-29,,Casa Vida Asesores Inmobiliarios,
52,191986797,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191986797,,Medellín,belen,,,CALLE 16   75- 24,Apartamento,360000000.0,70.0,5142857.142857143,,False,,,,,,3,2.0,,,0,,2025-02-07,,INDIKA INMOBILIARIA SAS,
53,192474566,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/192474566,,Medellín,belen,,,"Calle 23 # 71A-80, Medellín, Antioquia, Colombia",Casa,510000000.0,115.0,4434782.608695652,,True,,,,,,4,2.0,,,1,,2025-05-31,,ARRENDAMIENTOS MEDELLIN,
54,192457817,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-la-mota-medellin/192457817,,Medellín,la mota,,,CL 21 # 75 - 58,Casa,620000000.0,119.0,5210084.033613445,,False,,,,,,3,2.0,,,1,,2025-05-27,,La Fuente Inmobiliaria,
55,191507488,fincaraiz,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-belen-medellin/191507488,,Medellín,belen,,,Calle 25 # 71 16,Apartaestudio,322000000.0,120.0,2683333.3333333335,,False,,,,,,3,2.0,,,0,,2024-09-30,,Grupo Empresarial Mi,
56,191986243,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-la-mota-medellin/191986243,,Medellín,la mota,,,"Cra. 70b # 9a 34, Medellín, Antioquia, Colombia",Casa,1050000000.0,225.0,4666666.666666667,,True,,,,,,3,4.0,,,2,,2025-02-07,,Gómez Sierra Propiedades,
57,191943178,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-salvador-medellin/191943178,,Medellín,el salvador,,,"EL SALVADOR, MEDELLIN.",Apartamento,120000000.0,30.0,4000000.0,,False,,,,,,1,1.0,,,0,,2025-01-30,,Arrendamientos Alnago,
58,191877768,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191877768,,Medellín,belen,,,CL 22 74 39 INT 301,Apartamento,320000000.0,98.0,3265306.1224489794,,False,,,,,,3,1.0,,,0,,2025-01-15,,Arrendamientos El Castillo S.A.S,
59,191484182,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191484182,,Medellín,belen,,,CARRERA 70   25- 73,Apartamento,420000000.0,93.0,4516129.0322580645,,False,,,,,,2,2.0,,,1,,2024-09-26,,INDIKA INMOBILIARIA SAS,
60,191316104,fincaraiz,https://www.fincaraiz.com.co/bodega-en-venta-en-belen-medellin/191316104,,Medellín,belen,,,CR 73A#26 -15,Bodega,1400000000.0,335.0,4179104.4776119404,,False,,,,,,0,3.0,,,0,,2024-09-04,,Alberto Alvarez Ventas,
61,191228793,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191228793,,Medellín,belen,,,Carrera 76 A #26 -13,Apartamento,270000000.0,51.0,5294117.647058823,,False,,,,,,2,1.0,,,0,,2024-08-16,,Arrendamientos las vegas,
62,192643660,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/192643660,,Medellín,belen,,,Cra. 76 #12-100,Casa,1100000000.0,105.0,10476190.476190476,,False,,,,,,4,4.0,,,3,,2025-07-15,,Tu360Inmobiliario en colaboración con Pulppo,
63,7579739,fincaraiz,https://www.fincaraiz.com.co/local-en-venta-en-belen-medellin/7579739,,Medellín,belen las playas,,,Carrera 76 # 24-05,Local,2500000000.0,520.0,4807692.307692308,,False,,,,,,1,5.0,,,11,,2022-09-07,,Arrendamientos Giraldo Posada,
64,192310248,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-mota-medellin/192310248,,Medellín,diego echavarria,,,DG 75B # 6 - 60,Apartamento,500000000.0,95.0,5263157.894736842,,False,,,,,,3,3.0,,,1,,2025-04-25,,Payva Asociados SAS,
65,191921481,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-granada-medellin/191921481,,Medellín,granada,,,CR 75 29 51 INT 302,Apartamento,220000000.0,50.0,4400000.0,,False,,,,,,2,1.0,,,0,,2025-01-25,,Arrendamientos El Castillo S.A.S,
66,192658815,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192658815,,Medellín,belen,,,CL 13 70 34 PISO 1 CS,Casa,372000000.0,92.0,4043478.2608695654,,False,,,,,,3,2.0,,,0,,2025-07-19,,Arrendamientos El Castillo S.A.S,
67,192531000,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/192531000,,Medellín,urbanizacion san bernardo,,,CL 26 B 83 B 13 PISO 1,Apartamento,200000000.0,67.0,2985074.6268656715,,False,,,,,,2,2.0,,,0,,2025-06-14,,Arrendamientos El Castillo S.A.S,
68,11016840,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/11016840,,Medellín,belen,,,CL 25 75 51 PISO 1,Casa,650000000.0,179.0,3631284.9162011174,,False,,,,,,4,4.0,,,0,,2024-06-27,,Activos Y Bienes SAS,
69,192622395,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192622395,,Medellín,belen las playas,,,CARRERA 71 # 16-36,Casa,450000000.0,84.0,5357142.857142857,,False,,,,,,2,1.0,,,1,,2025-07-10,,Arrendamientos las vegas,
70,191385559,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-la-gloria-medellin/191385559,,Medellín,belen aliadas,,,CL 18 A 77 28 PISO 2,Casa,415000000.0,133.0,3120300.751879699,,False,,,,,,3,2.0,,,0,,2024-09-13,,Arrendamientos Villacruz,
71,192099190,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-medellin/192099190,,Medellín,granada,,,"Belén San Bernardo Carrera 74 A # 26 - 78, 5to piso",Apartamento,235000000.0,53.0,4433962.264150944,,False,,,,,,3,1.0,,,0,,2025-03-04,,SURAMERICANA DE ARRENDAMIENTOS S.A.,
72,192755562,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-las-playas-medellin/192755562,,Medellín,belen,,,Belen Calle 18#71-33,Casa,515000000.0,95.0,5421052.631578947,,False,,,,,,4,2.0,,,0,,2025-08-14,,ALFA FINCA RAIZ INMOBILIARIA SAS,
73,191982488,fincaraiz,https://www.fincaraiz.com.co/bodega-en-venta-en-belen-medellin/191982488,,Medellín,belen,,,Carrera 74 # 24 - 16,Bodega,2100000000.0,550.0,3818181.8181818184,,False,,,,,,0,4.0,,,0,,2025-02-07,,Arrendamientos Giraldo Posada,
74,192657096,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-san-bernardo-medellin/192657096,,Medellín,belen,,,"Calle 25 # 75-51, Medellín, Antioquia, Colombia",Casa,680000000.0,136.0,5000000.0,,True,,,,,,4,4.0,,,0,,2025-07-18,,ARRENDAMIENTOS MEDELLIN,
75,192175406,fincaraiz,https://www.fincaraiz.com.co/casa-en-venta-en-belen-medellin/192175406,,Medellín,belen,,,"Cra. 73 #20A-46, Medellín, Belén, Medellín, Antioquia",Casa,490000000.0,138.0,3550724.637681159,,False,,,,,,3,2.0,,,2,,2025-03-20,,Liliana Amaya Inmobiliaria,
76,192605657,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-de-los-bernal-medellin/192605657,,Medellín,loma de los bernal,,,Calle 7# 80-100,Apartamento,700000000.0,105.0,6666666.666666667,,False,,,,,,3,2.0,,,1,,2025-07-05,,Susana Laverde,
77,192456014,fincaraiz,https://www.fincaraiz.com.co/oficina-en-venta-en-belen-medellin/192456014,,Medellín,diego echavarria,,,"Diagonal 75B #8-40, Medellín, Antioquia, Colombia",Oficina,600000000.0,54.0,11111111.111111112,,False,,,,,,0,2.0,,,2,,2025-05-27,,INMOBILIARIA L&S SAS,
78,7602822,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/7602822,,Medellín,belen las playas,,,Calle 10 75a-38,Apartamento,290000000.0,70.0,4142857.1428571427,,False,,,,,,2,1.0,,,0,,2022-09-15,,Total Bienes,
79,192135470,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-medellin/192135470,,Medellín,urbanizacion san bernardo,,,"Calle 26 #71-22, Medellín, Antioquia, Colombia",Apartamento,255000000.0,50.0,5100000.0,,False,,,,,,2,1.0,,,0,,2025-03-12,,Inmobiliaria Echeverry,
